CustomerKey;FirstName;LastName;FullName;BirthDate;Gender;Children;Education;DateFirstPurchase;CommuteDistance;CustomerCity
26006;Garrett;Peterson;Garrett Peterson;1965-04-22;Male;4;Bachelors;2024-11-25;2-5 Miles;Ballard
26062;Chad;Raji;Chad Raji;1970-03-11;Male;4;Partial College;2024-05-18;2-5 Miles;Ballard
26116;Ashley;Martin;Ashley Martin;1959-01-02;Female;3;Graduate Degree;2022-12-17;1-2 Miles;Ballard
26256;Ronald;Rana;Ronald Rana;1961-01-10;Male;3;Partial High School;2024-10-09;1-2 Miles;Ballard
26278;Jon;Wu;Jon Wu;1975-04-03;Male;2;Partial College;2024-02-03;0-1 Miles;Ballard
26506;Ruth;Srini;Ruth Srini;1955-01-14;Female;2;Partial College;2024-02-23;10+ Miles;Ballard
26542;Jamie;Torres;Jamie Torres;1983-09-22;Male;0;Bachelors;2024-04-13;1-2 Miles;Ballard
26714;Angela;Long;Angela Long;1959-08-22;Female;2;Partial High School;2024-05-18;1-2 Miles;Ballard
27036;Hunter;Brown;Hunter Brown;1961-07-17;Male;2;High School;2024-03-01;0-1 Miles;Ballard
27074;Kristi;Sanchez;Kristi Sanchez;1976-09-18;Female;1;Graduate Degree;2023-08-06;0-1 Miles;Ballard
27098;Sarah;Wilson;Sarah Wilson;1973-12-14;Female;2;Bachelors;2024-08-18;2-5 Miles;Ballard
27548;Mason;Green;Mason Green;1977-05-24;Male;1;Partial College;2024-12-23;2-5 Miles;Ballard
27671;Jeremiah;Martinez;Jeremiah Martinez;1958-09-01;Male;3;Graduate Degree;2022-01-09;1-2 Miles;Ballard
27730;Isabella;Cox;Isabella Cox;1984-02-25;Female;0;Partial High School;2024-05-06;5-10 Miles;Ballard
28142;Willie;Lin;Willie Lin;1985-08-10;Male;0;High School;2022-03-26;1-2 Miles;Ballard
28255;Robert;Clark;Robert Clark;1973-07-18;Male;5;Partial College;2022-04-29;5-10 Miles;Ballard
29036;Rebecca;Baker;Rebecca Baker;1964-10-21;Female;3;Partial High School;2024-12-31;10+ Miles;Ballard
29284;Riley;Hughes;Riley Hughes;1955-06-03;Female;4;High School;2024-12-11;1-2 Miles;Ballard
29324;Kayla;Williams;Kayla Williams;1981-10-23;Female;0;High School;2024-04-03;5-10 Miles;Ballard
28621;Kristen;Liu;Kristen Liu;1969-09-21;Female;1;Partial College;2022-05-16;1-2 Miles;Barstow
14992;Dale;Andersen;Dale Andersen;1918-02-11;Male;2;Partial High School;2024-09-04;5-10 Miles;Basingstoke Hants
20149;Heidi;Arun;Heidi Arun;1948-04-01;Female;1;Bachelors;2022-03-27;0-1 Miles;Basingstoke Hants
26791;Kelvin;Nath;Kelvin Nath;1983-05-04;Male;0;Partial High School;2024-08-20;5-10 Miles;Baytown
11021;Destiny;Wilson;Destiny Wilson;1984-03-02;Female;0;Partial College;2024-01-23;1-2 Miles;Beaverton
11145;Jasmine;Coleman;Jasmine Coleman;1985-06-06;Female;0;High School;2024-01-25;0-1 Miles;Beaverton
11196;Alfredo;Romero;Alfredo Romero;1951-12-05;Male;5;Bachelors;2024-03-03;10+ Miles;Beaverton
11204;Destiny;Rivera;Destiny Rivera;1953-11-29;Female;2;High School;2024-08-09;2-5 Miles;Beaverton
11309;Victoria;Lewis;Victoria Lewis;1959-12-10;Female;2;High School;2024-07-09;5-10 Miles;Beaverton
11800;Jennifer;Baker;Jennifer Baker;1975-05-07;Female;1;Graduate Degree;2024-08-10;2-5 Miles;Beaverton
11801;Aaron;Sharma;Aaron Sharma;1975-03-16;Male;1;Graduate Degree;2024-12-12;2-5 Miles;Beaverton
11838;Justin;Rodriguez;Justin Rodriguez;1970-08-09;Male;3;Bachelors;2024-05-31;0-1 Miles;Beaverton
11843;Christy;Nara;Christy Nara;1975-11-08;Female;4;Bachelors;2024-02-07;10+ Miles;Beaverton
11879;Edgar;Sai;Edgar Sai;1971-09-30;Male;1;Partial College;2024-02-27;2-5 Miles;Beaverton
11985;Melanie;Hughes;Melanie Hughes;1963-05-18;Female;2;Bachelors;2024-02-27;0-1 Miles;Beaverton
12091;Eddie;Munoz;Eddie Munoz;1959-11-09;Male;2;High School;2024-02-05;2-5 Miles;Beaverton
12138;Colin;Jai;Colin Jai;1939-05-26;Male;3;Graduate Degree;2024-08-28;0-1 Miles;Beaverton
12141;Kaitlyn;Lee;Kaitlyn Lee;1976-09-16;Female;4;Partial College;2022-11-05;2-5 Miles;Beaverton
12160;Jaclyn;Zhang;Jaclyn Zhang;1969-05-23;Female;0;Partial College;2022-11-18;5-10 Miles;Beaverton
12180;Holly;Mehta;Holly Mehta;1942-03-17;Female;2;Graduate Degree;2022-12-10;1-2 Miles;Beaverton
12204;Bradley;Jai;Bradley Jai;1943-08-02;Male;2;Graduate Degree;2024-01-28;2-5 Miles;Beaverton
12439;Megan;Bennett;Megan Bennett;1961-11-23;Female;1;Partial College;2024-03-25;0-1 Miles;Beaverton
12457;Misty;Rai;Misty Rai;1965-03-01;Female;4;Graduate Degree;2024-04-04;1-2 Miles;Beaverton
12531;Autumn;Xu;Autumn Xu;1977-12-31;Female;4;Partial College;2024-03-18;0-1 Miles;Beaverton
12961;Kimberly;Murphy;Kimberly Murphy;1973-05-11;Female;1;Partial College;2024-11-04;2-5 Miles;Beaverton
13052;Jared;Morris;Jared Morris;1981-05-10;Male;0;Partial College;2024-05-05;5-10 Miles;Beaverton
13146;Gabriella;Ramirez;Gabriella Ramirez;1981-11-12;Female;0;High School;2024-05-18;0-1 Miles;Beaverton
13211;James;Jai;James Jai;1951-06-11;Male;4;Bachelors;2025-01-19;2-5 Miles;Beaverton
13334;Melanie;Rivera;Melanie Rivera;1945-10-18;Female;5;Bachelors;2024-07-31;1-2 Miles;Beaverton
13346;Gregory;Chande;Gregory Chande;1948-11-22;Male;2;Bachelors;2023-02-18;5-10 Miles;Beaverton
13383;Natalie;Wright;Natalie Wright;1961-09-29;Female;2;Partial College;2023-01-31;10+ Miles;Beaverton
13392;Hunter;Parker;Hunter Parker;1956-10-30;Male;2;High School;2024-11-09;10+ Miles;Beaverton
13393;Willie;Kumar;Willie Kumar;1956-10-15;Male;2;High School;2024-05-10;2-5 Miles;Beaverton
13394;Matthew;Clark;Matthew Clark;1956-09-11;Male;2;High School;2024-05-12;10+ Miles;Beaverton
13652;Tamara;Zeng;Tamara Zeng;1947-02-22;Female;5;Bachelors;2024-05-08;5-10 Miles;Beaverton
13712;Nancy;Martinez;Nancy Martinez;1971-12-30;Female;0;Graduate Degree;2023-05-04;1-2 Miles;Beaverton
13717;Audrey;Gill;Audrey Gill;1959-01-10;Female;1;Bachelors;2024-05-17;1-2 Miles;Beaverton
13755;Luke;Roberts;Luke Roberts;1970-01-15;Male;4;Graduate Degree;2024-12-03;1-2 Miles;Beaverton
13849;Preston;Rodriguez;Preston Rodriguez;1977-08-31;Male;4;Partial College;2023-07-08;1-2 Miles;Beaverton
13890;Jennifer;Carter;Jennifer Carter;1977-09-12;Female;0;Graduate Degree;2023-09-11;2-5 Miles;Beaverton
13893;Dalton;Carter;Dalton Carter;1983-02-07;Male;4;Graduate Degree;2024-06-19;2-5 Miles;Beaverton
14000;Terry;Sharma;Terry Sharma;1982-10-24;Male;0;Partial High School;2024-07-27;5-10 Miles;Beaverton
14001;Hunter;Hill;Hunter Hill;1983-01-23;Male;0;Partial High School;2024-08-08;1-2 Miles;Beaverton
14076;Justin;Ross;Justin Ross;1981-08-26;Male;0;High School;2024-05-03;5-10 Miles;Beaverton
14080;Cynthia;Srini;Cynthia Srini;1981-11-16;Female;0;High School;2023-03-18;5-10 Miles;Beaverton
14082;Johnny;Jai;Johnny Jai;1985-11-03;Male;0;High School;2024-12-14;0-1 Miles;Beaverton
14296;Benjamin;Russell;Benjamin Russell;1962-11-14;Male;2;High School;2024-05-28;1-2 Miles;Beaverton
14336;Gabriel;Baker;Gabriel Baker;1984-02-04;Male;0;High School;2023-07-06;5-10 Miles;Beaverton
14362;Roberto;Gill;Roberto Gill;1977-10-31;Male;4;Partial College;2023-08-12;1-2 Miles;Beaverton
14437;Mitchell;Anand;Mitchell Anand;1971-01-30;Male;5;Partial College;2024-12-18;2-5 Miles;Beaverton
14506;Stacy;Suarez;Stacy Suarez;1945-11-17;Female;5;Bachelors;2024-11-13;1-2 Miles;Beaverton
14509;Bridget;Deng;Bridget Deng;1973-08-30;Female;4;Partial College;2024-09-29;1-2 Miles;Beaverton
14519;Denise;Rana;Denise Rana;1984-05-18;Female;0;Partial College;2024-03-13;5-10 Miles;Beaverton
14568;Priscilla;Kumar;Priscilla Kumar;1982-03-09;Female;1;Graduate Degree;2024-04-07;2-5 Miles;Beaverton
14638;Blake;Scott;Blake Scott;1971-08-18;Male;0;Bachelors;2024-12-18;2-5 Miles;Beaverton
14642;Jeffery;Zeng;Jeffery Zeng;1972-11-10;Male;0;Partial College;2024-05-26;0-1 Miles;Beaverton
14736;Jack;Roberts;Jack Roberts;1959-11-08;Male;3;Partial High School;2024-03-01;0-1 Miles;Beaverton
14763;George;Arun;George Arun;1964-05-10;Male;4;Graduate Degree;2024-08-19;1-2 Miles;Beaverton
14856;Kari;Carlson;Kari Carlson;1983-02-01;Female;0;Partial High School;2025-01-15;5-10 Miles;Beaverton
15364;Aidan;Bryant;Aidan Bryant;1970-08-21;Male;5;Partial College;2023-04-11;2-5 Miles;Beaverton
15384;Xavier;Alan;Xavier Alan;1966-08-23;Male;5;Partial College;2024-04-04;5-10 Miles;Beaverton
15510;Ernest;She;Ernest She;1977-10-20;Male;5;Graduate Degree;2024-08-22;2-5 Miles;Beaverton
15519;Jennifer;Evans;Jennifer Evans;1927-05-10;Female;4;Partial High School;2024-04-27;0-1 Miles;Beaverton
15569;Morgan;Ward;Morgan Ward;1974-08-22;Female;1;Partial College;2023-09-16;0-1 Miles;Beaverton
15740;Johnny;Kumar;Johnny Kumar;1947-10-09;Male;5;Bachelors;2024-09-18;1-2 Miles;Beaverton
15759;Erin;Brooks;Erin Brooks;1979-05-07;Female;0;Bachelors;2024-03-21;0-1 Miles;Beaverton
15817;Chloe;Alexander;Chloe Alexander;1982-01-05;Female;0;High School;2024-05-13;0-1 Miles;Beaverton
15882;Maurice;Xie;Maurice Xie;1951-05-01;Male;4;Bachelors;2023-09-28;10+ Miles;Beaverton
15935;Amber;King;Amber King;1944-10-24;Female;3;Graduate Degree;2024-04-18;0-1 Miles;Beaverton
16013;Xavier;Williams;Xavier Williams;1974-01-18;Male;4;Partial College;2024-02-17;1-2 Miles;Beaverton
16072;Caleb;Evans;Caleb Evans;1982-10-08;Male;1;Graduate Degree;2024-10-12;2-5 Miles;Beaverton
16088;Bryce;Sanders;Bryce Sanders;1973-01-06;Male;0;Bachelors;2024-05-21;2-5 Miles;Beaverton
16105;Kristy;Diaz;Kristy Diaz;1970-08-04;Female;3;Bachelors;2024-09-29;10+ Miles;Beaverton
16134;Roy;Hernandez;Roy Hernandez;1972-12-03;Male;0;Partial College;2024-04-26;2-5 Miles;Beaverton
16135;Chelsea;Raman;Chelsea Raman;1972-12-28;Female;0;Partial College;2024-11-04;2-5 Miles;Beaverton
16367;Emily;Williams;Emily Williams;1977-05-24;Female;5;Graduate Degree;2024-10-28;1-2 Miles;Beaverton
16863;Kaitlyn;Clark;Kaitlyn Clark;1967-02-08;Female;5;Partial College;2024-03-05;1-2 Miles;Beaverton
16993;Russell;Rai;Russell Rai;1975-08-15;Male;4;Bachelors;2024-06-25;5-10 Miles;Beaverton
17019;Andrea;Hall;Andrea Hall;1977-11-20;Female;4;High School;2024-11-30;2-5 Miles;Beaverton
17136;Glenn;Ye;Glenn Ye;1952-02-24;Male;5;Bachelors;2024-11-06;10+ Miles;Beaverton
17166;Joshua;Several;Joshua Several;1956-12-20;Male;2;High School;2024-10-26;2-5 Miles;Beaverton
17273;Jonathon;Torres;Jonathon Torres;1963-11-06;Male;5;Graduate Degree;2024-12-10;0-1 Miles;Beaverton
17339;Ian;Hayes;Ian Hayes;1982-05-09;Male;0;High School;2024-04-10;0-1 Miles;Beaverton
17340;Joy;Hernandez;Joy Hernandez;1985-08-02;Female;0;High School;2024-11-10;5-10 Miles;Beaverton
17383;Craig;Ortega;Craig Ortega;1976-10-28;Male;1;Graduate Degree;2024-09-17;1-2 Miles;Beaverton
17429;Wyatt;Carter;Wyatt Carter;1966-12-15;Male;5;Partial College;2024-11-30;5-10 Miles;Beaverton
17528;Whitney;Kapoor;Whitney Kapoor;1963-01-01;Female;2;Partial College;2024-11-07;5-10 Miles;Beaverton
17540;Gloria;Gutierrez;Gloria Gutierrez;1973-03-03;Female;4;High School;2024-02-06;2-5 Miles;Beaverton
17553;Summer;Sanchez;Summer Sanchez;1953-09-21;Female;5;Bachelors;2024-11-22;1-2 Miles;Beaverton
17554;Emma;Harris;Emma Harris;1954-04-18;Female;3;Graduate Degree;2024-02-15;1-2 Miles;Beaverton
17556;Emily;Powell;Emily Powell;1949-10-07;Female;5;Partial High School;2024-04-05;10+ Miles;Beaverton
17569;Mya;Price;Mya Price;1975-08-22;Female;1;Graduate Degree;2024-02-26;2-5 Miles;Beaverton
17603;Anna;Patterson;Anna Patterson;1980-08-06;Female;5;Graduate Degree;2024-09-22;2-5 Miles;Beaverton
17677;Lawrence;Hernandez;Lawrence Hernandez;1964-02-21;Male;2;Partial College;2024-07-31;1-2 Miles;Beaverton
17685;Diana;Torres;Diana Torres;1963-09-14;Female;4;Graduate Degree;2024-02-01;0-1 Miles;Beaverton
18373;Stephanie;Roberts;Stephanie Roberts;1983-08-08;Female;1;Bachelors;2024-10-13;0-1 Miles;Beaverton
18414;Gabrielle;Griffin;Gabrielle Griffin;1941-04-03;Female;3;Partial College;2024-10-07;1-2 Miles;Beaverton
18579;William;Brown;William Brown;1977-03-11;Male;4;Graduate Degree;2024-10-28;2-5 Miles;Beaverton
18805;Tracy;Simpson;Tracy Simpson;1977-12-19;Female;1;Bachelors;2025-01-27;0-1 Miles;Beaverton
18809;Jason;King;Jason King;1961-10-06;Male;2;Partial College;2024-04-01;0-1 Miles;Beaverton
18822;Gregory;Ferrier;Gregory Ferrier;1967-12-23;Male;5;Partial College;2024-08-10;1-2 Miles;Beaverton
18827;Carmen;Raman;Carmen Raman;1972-11-18;Female;5;Partial College;2024-12-27;5-10 Miles;Beaverton
18843;Luis;Perez;Luis Perez;1941-07-19;Male;2;Graduate Degree;2024-11-20;1-2 Miles;Beaverton
18870;Ana;Barnes;Ana Barnes;1958-01-31;Female;3;Partial College;2025-01-21;5-10 Miles;Beaverton
18880;Jarrod;Sanchez;Jarrod Sanchez;1946-09-04;Male;3;Graduate Degree;2024-10-14;1-2 Miles;Beaverton
18910;Marco;Perez;Marco Perez;1981-04-26;Male;0;Partial College;2024-11-11;5-10 Miles;Beaverton
18941;Philip;Torres;Philip Torres;1962-09-05;Male;3;Partial College;2024-12-25;0-1 Miles;Beaverton
18977;Jackson;Wang;Jackson Wang;1950-02-14;Male;4;High School;2024-12-06;1-2 Miles;Beaverton
19006;Leslie;Martin;Leslie Martin;1955-10-18;Female;2;Partial College;2024-12-19;10+ Miles;Beaverton
19107;Franklin;Liu;Franklin Liu;1975-10-31;Male;4;Partial College;2024-05-10;2-5 Miles;Beaverton
19148;Cody;Ramirez;Cody Ramirez;1975-09-05;Male;0;Bachelors;2024-12-14;0-1 Miles;Beaverton
19152;Jonathan;Walker;Jonathan Walker;1969-08-01;Male;4;Bachelors;2024-04-07;10+ Miles;Beaverton
19168;Nathan;Kumar;Nathan Kumar;1969-04-17;Male;0;Bachelors;2024-02-03;2-5 Miles;Beaverton
19227;Logan;Nelson;Logan Nelson;1969-08-16;Male;2;Partial College;2024-03-13;1-2 Miles;Beaverton
19396;Tammy;Prasad;Tammy Prasad;1965-09-08;Female;4;High School;2024-02-27;2-5 Miles;Beaverton
19528;Bailey;Hall;Bailey Hall;1972-11-10;Female;0;Partial College;2024-08-09;0-1 Miles;Beaverton
19635;Dawn;Shan;Dawn Shan;1982-04-27;Female;0;High School;2024-11-26;5-10 Miles;Beaverton
19636;Jessica;Lee;Jessica Lee;1982-05-17;Female;0;High School;2024-09-02;5-10 Miles;Beaverton
19720;Kaitlyn;Phillips;Kaitlyn Phillips;1959-03-21;Female;3;Graduate Degree;2024-08-07;5-10 Miles;Beaverton
19816;Lucas;Brown;Lucas Brown;1968-11-15;Male;2;Partial College;2024-09-11;5-10 Miles;Beaverton
20079;Alexandra;Taylor;Alexandra Taylor;1964-05-03;Female;2;High School;2024-11-19;0-1 Miles;Beaverton
20129;Nicole;Stewart;Nicole Stewart;1977-04-17;Female;1;Graduate Degree;2024-04-04;1-2 Miles;Beaverton
20184;Jessica;Richardson;Jessica Richardson;1966-10-30;Female;4;High School;2024-04-26;0-1 Miles;Beaverton
20203;Roy;Blanco;Roy Blanco;1976-03-18;Male;1;Graduate Degree;2024-09-22;0-1 Miles;Beaverton
20205;Bryce;Cox;Bryce Cox;1963-08-08;Male;3;Bachelors;2024-06-12;0-1 Miles;Beaverton
20313;Oscar;Bennett;Oscar Bennett;1984-05-10;Male;0;Partial College;2024-12-02;1-2 Miles;Beaverton
20352;Melissa;Foster;Melissa Foster;1960-11-06;Female;4;High School;2024-04-16;5-10 Miles;Beaverton
20356;Louis;Lu;Louis Lu;1941-01-04;Male;3;Partial College;2024-12-15;1-2 Miles;Beaverton
20431;Corey;Raje;Corey Raje;1981-06-07;Male;0;Partial College;2024-09-26;5-10 Miles;Beaverton
20464;Amy;Lu;Amy Lu;1962-07-23;Female;2;Partial College;2024-06-23;0-1 Miles;Beaverton
20469;Manuel;Suri;Manuel Suri;1961-08-31;Male;3;Partial College;2024-12-17;5-10 Miles;Beaverton
20472;Edward;Coleman;Edward Coleman;1976-01-17;Male;4;Partial College;2024-06-27;2-5 Miles;Beaverton
20473;Mason;Rivera;Mason Rivera;1970-10-01;Male;5;Partial College;2025-01-26;0-1 Miles;Beaverton
20642;Patricia;Prasad;Patricia Prasad;1967-11-01;Female;2;Partial College;2024-10-16;5-10 Miles;Beaverton
20704;Shane;Rodriguez;Shane Rodriguez;1968-08-20;Male;4;Bachelors;2024-10-01;2-5 Miles;Beaverton
20743;Arianna;Howard;Arianna Howard;1959-01-11;Female;2;High School;2024-10-30;0-1 Miles;Beaverton
20777;Carly;Sharma;Carly Sharma;1965-04-06;Female;4;Graduate Degree;2025-01-09;1-2 Miles;Beaverton
20782;Alan;Ye;Alan Ye;1975-10-31;Male;4;Graduate Degree;2024-09-10;0-1 Miles;Beaverton
21278;Julia;King;Julia King;1983-10-18;Female;0;Partial High School;2024-12-30;5-10 Miles;Beaverton
21753;Morgan;Robinson;Morgan Robinson;1948-05-21;Female;5;Bachelors;2024-04-30;1-2 Miles;Beaverton
21773;Alyssa;Rogers;Alyssa Rogers;1951-12-19;Female;4;Bachelors;2024-05-27;2-5 Miles;Beaverton
21782;Blake;Martin;Blake Martin;1954-02-13;Male;2;High School;2024-04-28;10+ Miles;Beaverton
21900;Robert;Jones;Robert Jones;1980-10-14;Male;4;Partial College;2024-06-02;2-5 Miles;Beaverton
22110;Eduardo;King;Eduardo King;1960-02-05;Male;2;Partial High School;2024-12-24;5-10 Miles;Beaverton
22157;Maria;Richardson;Maria Richardson;1983-05-22;Female;0;Partial High School;2024-10-08;5-10 Miles;Beaverton
22158;Amber;Phillips;Amber Phillips;1982-08-16;Female;0;Partial High School;2024-06-06;5-10 Miles;Beaverton
22288;Isabel;Patterson;Isabel Patterson;1970-05-26;Female;4;Bachelors;2024-02-07;0-1 Miles;Beaverton
22742;Nathan;Nelson;Nathan Nelson;1950-12-05;Male;4;High School;2024-03-04;2-5 Miles;Beaverton
23001;Julio;Munoz;Julio Munoz;1972-07-23;Male;0;Bachelors;2024-10-07;1-2 Miles;Beaverton
23046;Pamela;Malhotra;Pamela Malhotra;1941-02-03;Female;3;Partial College;2024-02-16;5-10 Miles;Beaverton
23049;Gina;Moreno;Gina Moreno;1941-12-15;Female;2;Graduate Degree;2024-03-02;1-2 Miles;Beaverton
23124;Cameron;Wang;Cameron Wang;1978-07-15;Male;0;Bachelors;2025-01-13;2-5 Miles;Beaverton
23142;Cara;Wu;Cara Wu;1961-12-29;Female;3;Partial College;2024-09-13;0-1 Miles;Beaverton
23157;Valerie;Gao;Valerie Gao;1976-11-07;Female;1;Graduate Degree;2024-08-15;2-5 Miles;Beaverton
23198;Jacqueline;Sanders;Jacqueline Sanders;1971-03-09;Female;3;Bachelors;2024-04-01;0-1 Miles;Beaverton
23211;Rebekah;Kovár;Rebekah Kovár;1968-11-10;Female;4;Bachelors;2024-10-13;2-5 Miles;Beaverton
23260;Edwin;Goel;Edwin Goel;1960-08-07;Male;2;High School;2024-10-23;1-2 Miles;Beaverton
23333;Steve;Sun;Steve Sun;1981-03-12;Male;0;Partial College;2024-07-12;1-2 Miles;Beaverton
23461;Rachael;Smith;Rachael Smith;1971-04-22;Female;5;Partial College;2025-01-07;2-5 Miles;Beaverton
23465;Grace;Russell;Grace Russell;1969-08-05;Female;4;Partial College;2024-03-26;2-5 Miles;Beaverton
23517;Ronald;Martinez;Ronald Martinez;1955-01-22;Male;4;High School;2024-10-20;1-2 Miles;Beaverton
23555;Andres;Chavez;Andres Chavez;1982-02-18;Male;0;High School;2024-03-25;5-10 Miles;Beaverton
23668;Jessica;Hughes;Jessica Hughes;1953-01-03;Female;4;High School;2024-10-14;5-10 Miles;Beaverton
23784;Preston;Arun;Preston Arun;1977-10-20;Male;0;Graduate Degree;2024-02-06;0-1 Miles;Beaverton
23820;Isabelle;Diaz;Isabelle Diaz;1979-01-31;Female;0;Graduate Degree;2024-12-15;1-2 Miles;Beaverton
23831;Colleen;Jai;Colleen Jai;1977-08-07;Female;1;Bachelors;2024-02-01;0-1 Miles;Beaverton
23847;Chad;Sharma;Chad Sharma;1974-08-29;Male;2;Bachelors;2024-11-02;0-1 Miles;Beaverton
23861;Keith;Anand;Keith Anand;1973-12-14;Male;2;Bachelors;2024-02-16;2-5 Miles;Beaverton
